30.263400, 1250000, m, master
30.334200, 1250000, m, slave
4022.071000, 12500000, m, master
4020.691500, 12500000, m, slave
0.493000, 6250, m, master
0.562700, 6250, m, slave
2943.589700, 6250000, m, master
2942.579900, 6250000, m, slave
4072.330200, 13414400, m, master
4071.545500, 13406192, m, slave
3.300800, 125000, m, master
3.527800, 125000, m, slave
22.996800, 625000, m, slave
23.205200, 625000, m, master
0.112500, 125, m, master
0.161300, 125, m, slave
0.466900, 12500, m, slave
0.510900, 12500, m, master
0.091900, 625, m, master
0.136400, 625, m, slave
0.137200, 1250, m, master
0.173300, 1250, m, slave
1.969200, 62500, m, slave
2.036900, 62500, m, master
