939.593800, 1250000, m, slave
941.796900, 1250000, m, master
4034.295500, 12500000, m, master
4034.144700, 12500000, m, slave
0.083300, 6250, m, master
0.544700, 6250, m, slave
2018.122000, 6250000, m, master
2017.392200, 6250000, m, slave
4945.795000, 13414400, m, master
4945.564600, 13414400, m, slave
9.060900, 125000, m, slave
9.028200, 125000, m, master
30.857700, 625000, m, slave
31.153200, 625000, m, master
0.268700, 125, m, master
0.046600, 125, m, slave
0.322200, 12500, m, master
0.649500, 12500, m, slave
0.208400, 625, m, slave
0.112500, 625, m, master
0.257700, 1250, m, master
0.157200, 1250, m, slave
0.788300, 62500, m, master
1.339700, 62500, m, slave
